date,fund,company,ticker,cusip,"market value ($)","weight (%)"
10/04/2021,IZRL,"PURPLE BIOTECH LTD-ADR",PPBT,74638P109,"$3,378,779.54",1.30%
10/04/2021,IZRL,"WALKME LTD",WKME,M97628107,"$3,368,573.01",1.30%
10/04/2021,IZRL,"FATTAL HOLDINGS 1998 LTD",FTAL,BG1YKN5,"$3,340,288.60",1.29%
10/04/2021,IZRL,"TUFIN SOFTWARE TECHNOLOGIES",TUFN,M8893U102,"$3,338,373.66",1.29%
10/04/2021,IZRL,"ELECTRA CONSUMER PRODUCTS 19",ECP,B536CY7,"$3,294,753.29",1.27%
10/04/2021,IZRL,"CELLCOM ISRAEL LTD",CEL,B23WQK8,"$3,280,346.76",1.27%
10/04/2021,IZRL,"TARO PHARMACEUTICAL INDUS",TARO,M8737E108,"$3,254,457.80",1.26%
10/04/2021,IZRL,"CHECK POINT SOFTWARE TECH",CHKP,M22465104,"$3,242,903.05",1.25%
10/04/2021,IZRL,"ENTERA BIO LTD",ENTX,M40527109,"$3,243,768.84",1.25%
10/04/2021,IZRL,"RADA ELECTRONIC INDS LTD",RADA,M81863124,"$3,165,577.20",1.22%
10/04/2021,IZRL,"SIMILARWEB LTD",SMWB,M84137104,"$3,141,816.15",1.21%
10/04/2021,IZRL,"COLLPLANT BIOTECHNOLOGIES LT","CLGN UQ",M2R51X116,"$3,121,869.44",1.21%
10/04/2021,IZRL,"FIVERR INTERNATIONAL LTD",FVRR,M4R82T106,"$3,085,132.34",1.19%
10/04/2021,IZRL,"NANO DIMENSION LTD - ADR",NNDM,63008G203,"$3,028,539.00",1.17%
10/04/2021,IZRL,"ABRA INFORMATION TECHNOLOGIE",ABRA,B2NB586,"$3,035,326.29",1.17%
10/04/2021,IZRL,"BIOLINERX LTD-SPONS ADR","BLRX ",09071M205,"$2,970,730.62",1.15%
10/04/2021,IZRL,"COGNYTE SOFTWARE LTD",CGNT,M25133105,"$2,943,080.80",1.14%
10/04/2021,IZRL,"ALLOT LTD",ALLT,M0854Q105,"$2,915,945.90",1.13%
10/04/2021,IZRL,"EVOGENE LTD",EVGN,B289530,"$2,913,396.04",1.12%
10/04/2021,IZRL,"VASCULAR BIOGENICS LTD",VBLT,M96883109,"$2,859,920.28",1.10%
10/04/2021,IZRL,"STRATASYS LTD",SSYS,M85548101,"$2,846,581.98",1.10%
10/04/2021,IZRL,"NANO-X IMAGING LTD",NNOX,M70700105,"$2,803,015.81",1.08%
10/04/2021,IZRL,"ICECURE MEDICAL LTD",ICCM,B67PC92,"$2,721,544.48",1.05%
10/04/2021,IZRL,"JFROG LTD",FROG,M6191J100,"$2,661,646.68",1.03%
10/04/2021,IZRL,"CHECK CAP LTD",CHEK,M2361E203,"$2,654,064.56",1.02%
10/04/2021,IZRL,"AQUARIUS ENGINES AM LTD",AQUA,BN7JJ92,"$2,647,042.39",1.02%
10/04/2021,IZRL,"AUGWIND ENERGY TECH STORAGE",AUGN,B290CJ7,"$2,626,559.48",1.01%
10/04/2021,IZRL,"MEDIWOUND LTD",MDWD,M68830104,"$2,532,952.46",0.98%
10/04/2021,IZRL,"GAMIDA CELL LTD",GMDA,M47364100,"$2,448,745.20",0.95%
10/04/2021,IZRL,"PLURISTEM THERAPEUTICS INC",PSTI,72940R300,"$2,330,422.06",0.90%
10/04/2021,IZRL,"WIX.COM LTD",WIX,M98068105,"$2,303,259.37",0.89%
10/04/2021,IZRL,"COMPUGEN LTD",CGEN,M25722105,"$2,107,965.21",0.81%
10/04/2021,IZRL,"PHINERGY LTD",PNRG,BMZ52P2,"$2,023,253.43",0.78%
10/04/2021,IZRL,"INNOVIZ TECHNOLOGIES LTD","INVZ UR",M5R635108,"$1,997,449.36",0.77%
10/04/2021,IZRL,"INTERCURE LTD",INCR,B23SD94,"$1,964,782.84",0.76%
10/04/2021,IZRL,"CHEMOMAB THERAPEUTICS LTD",CMMB,16385C104,"$1,933,092.00",0.75%
10/04/2021,IZRL,"DREYFUS GOVT CASH MAN INS",,X9USDDGCM,"$1,109,065.52",0.43%
10/04/2021,IZRL,"REDHILL BIOPHARMA LTD-SP ADR",RDHL,757468103,"$82,898.90",0.03%
10/04/2021,IZRL,"ISRAELI SHEKEL",,ILS,"$21,718.59",0.01%
"The principal risks of investing in ARK ETFs include equity, market, management and non-diversification risks, as well as fluctuations in market value and net asset value ('NAV'). Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ETF before investing. This and other information are contained in each ETF's prospectus, which may be obtained by contacting the ETF's transfer agent The Bank of New York Mellon or by clicking here. Please read the prospectus carefully before you invest. The market price of ETF shares may differ significantly from their NAV during periods of market volatility. ETF shares may only be redeemed directly with the ETF at NAV by Authorized Participants, in very large creation units. Holdings are subject to change without notice and are not a recommendation to buy or sell any security. There can be no guarantee that an active trading market for ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Copyright 2021, ARK Investment Management LLC. All content is original and has been researched and produced by ARK Investment Management LLC unless otherwise stated. No part of this content may be reproduced in any form, or referred to in any other publication, without the express written permission of ARK Investment Management LLC. All statements made regarding companies, securities or other financial information on this site or any sites or articles relating to ARK Investment Management LLC are strictly beliefs and points of view held by ARK Investment Management and are subject to change without notice. Information contained herein has been obtained from sources believed to be reliable, but not guaranteed. This material has been distributed for informational purposes only and should not be considered as investment advice or a recommendation of any particular security, strategy or investment product."
